                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 3.1952,                 4.4629,                   3.54,                0.32373,                0.00833,                0.00647,                0.00339,                 3.1983,                 12.228,                 3.5942,                 0.0073,                 0.0073,                 0.0073
                     62,                 3.2432,                 4.2661,                  3.536,                 0.2396,                0.01951,                0.01101,                0.00379,                 3.2486,                 30.252,                 3.6092,               0.007255,               0.007255,               0.007255
                     63,                 3.2715,                 4.2975,                 3.4778,                0.31575,                0.02407,                0.01881,                0.00793,                 3.0515,                  20.09,                 3.4615,                0.00721,                0.00721,                0.00721
                     64,                 2.9203,                 4.2617,                 3.3999,                0.38885,                0.02244,                0.01836,                0.00864,                 3.0152,                  19.77,                 3.4036,               0.007165,               0.007165,               0.007165
                     65,                 3.1664,                 4.5566,                 3.4283,                 0.4305,                0.02406,                0.02349,                0.00984,                 3.1416,                 13.064,                  3.431,                0.00712,                0.00712,                0.00712
                     66,                 3.0198,                 4.1406,                 3.4002,                0.38199,                0.01778,                0.01673,                0.00597,                 3.1736,                 6.1041,                 3.4342,               0.007075,               0.007075,               0.007075
                     67,                 3.0622,                 4.2611,                 3.4217,                 0.4123,                0.01536,                0.01014,                0.00454,                 3.1475,                 9.4719,                 3.4227,                0.00703,                0.00703,                0.00703
                     68,                 3.1468,                 4.3093,                 3.4573,                 0.3832,                0.01796,                0.00593,                0.00224,                  3.163,                 9.0302,                 3.4389,               0.006985,               0.006985,               0.006985
                     69,                 3.0671,                 3.9086,                 3.3272,                0.34044,                0.02994,                 0.0134,                0.00538,                 3.2181,                 9.7129,                 3.4538,                0.00694,                0.00694,                0.00694
                     70,                 3.1793,                 4.5285,                 3.3864,                0.52107,                0.01495,                 0.0187,                 0.0078,                 3.1568,                 6.3684,                 3.4342,               0.006895,               0.006895,               0.006895
